date,title,headline,news
"May 7, 2020",G.O.P. Coronavirus Message: Economic Crisis Is a Green New Deal Preview,"As the economy melts down, embattled conservatives are testing a political response: saying Democratic climate policies would bring similar pain.","G.O.P. Coronavirus Message: Economic Crisis Is a Green New Deal Preview As the economy melts down, embattled conservatives are testing a political response: saying Democratic climate policies would bring similar pain."
"April 30, 2020",Billions in Clean Energy Loans Go Unused as Coronavirus Ravages Economy,"As Congress rushes out trillions of dollars to prop up businesses, the Energy Department is holding on to tens of billions in clean energy loans.","Billions in Clean Energy Loans Go Unused as Coronavirus Ravages Economy As Congress rushes out trillions of dollars to prop up businesses, the Energy Department is holding on to tens of billions in clean energy loans."
"April 30, 2020",Emissions Declines Will Set Records This Year. But It’s Not Good News.,"An “unprecedented” fall in fossil fuel use, driven by the Covid-19 crisis, is likely to lead to a nearly 8 percent drop, according to new research.","Emissions Declines Will Set Records This Year. But It’s Not Good News. An “unprecedented” fall in fossil fuel use, driven by the Covid-19 crisis, is likely to lead to a nearly 8 percent drop, according to new research."
"April 22, 2020","Earth Day Message to Leaders: After Coronavirus, Rebuild Wisely","Activists and scientists called on world leaders to shift the global economy onto a healthier, more sustainable track.","Earth Day Message to Leaders: After Coronavirus, Rebuild Wisely Activists and scientists called on world leaders to shift the global economy onto a healthier, more sustainable track."
"April 22, 2020",Will the Coronavirus Pandemic Doom North Sea Oil?,The steep fall in prices and demand is undermining a proud yet declining industry.,Will the Coronavirus Pandemic Doom North Sea Oil? The steep fall in prices and demand is undermining a proud yet declining industry.
"April 20, 2020",The ‘Profoundly Radical’ Message of Earth Day’s First Organizer,"Fifty years on, Denis Hayes is still trying to keep the spirit that made Earth Day a world-changing event alive — and to refocus its energy on climate change.","The ‘Profoundly Radical’ Message of Earth Day’s First Organizer Fifty years on, Denis Hayes is still trying to keep the spirit that made Earth Day a world-changing event alive — and to refocus its energy on climate change."
"April 7, 2020","Oil Companies Are Collapsing, but Wind and Solar Energy Keep Growing","The renewable-energy business is expected to keep growing, though more slowly, in contrast to fossil fuel companies, which have been hammered by low oil and gas prices.","Oil Companies Are Collapsing, but Wind and Solar Energy Keep Growing The renewable-energy business is expected to keep growing, though more slowly, in contrast to fossil fuel companies, which have been hammered by low oil and gas prices."
"March 30, 2020",Vodka From Thin Air: An Unusual Climate Prize Hits a Coronavirus Snag,"Inventors were about to test their ideas for making money by selling things made out of carbon dioxide, the main culprit in global warming. Then the pandemic struck.","Vodka From Thin Air: An Unusual Climate Prize Hits a Coronavirus Snag Inventors were about to test their ideas for making money by selling things made out of carbon dioxide, the main culprit in global warming. Then the pandemic struck."
"March 27, 2020",Trump’s Environmental Rollbacks Find Opposition Within: Staff Scientists,"Federal scientists and lawyers, told to undo regulations that some have worked on for decades, have embedded data into technical documents that environmental lawyers are using to challenge the rollbacks.","Trump’s Environmental Rollbacks Find Opposition Within: Staff Scientists Federal scientists and lawyers, told to undo regulations that some have worked on for decades, have embedded data into technical documents that environmental lawyers are using to challenge the rollbacks."
"March 19, 2020",Climate Voters Still Want More From Biden,"Joseph R. Biden Jr. keeps winning, and winning voters who say they care about climate change. But some of the most ardent climate activists still are not with him.","Climate Voters Still Want More From Biden Joseph R. Biden Jr. keeps winning, and winning voters who say they care about climate change. But some of the most ardent climate activists still are not with him."
"March 13, 2020","Social Distancing? You Might Be Fighting Climate Change, Too",Isolation and other shifts in behavior during the coronavirus outbreak could also alter our greenhouse gas emissions. But will the changes stick?,"Social Distancing? You Might Be Fighting Climate Change, Too Isolation and other shifts in behavior during the coronavirus outbreak could also alter our greenhouse gas emissions. But will the changes stick?"
"March 6, 2020",Coronavirus Could Slow Efforts to Cut Airlines’ Greenhouse Gas Emissions,"Air France, citing the virus, has called for relief from taxes designed to curb global warming emissions. Other efforts could be disrupted as well.","Coronavirus Could Slow Efforts to Cut Airlines’ Greenhouse Gas Emissions Air France, citing the virus, has called for relief from taxes designed to curb global warming emissions. Other efforts could be disrupted as well."
"Feb. 28, 2020",Fighting Coal Was Supposed to Lift Bloomberg. Here’s Why It Didn’t.,"The former New York mayor is “a victim of the climate debate moving much faster than the positive realities he helped shape,” one analyst said.","Fighting Coal Was Supposed to Lift Bloomberg. Here’s Why It Didn’t. The former New York mayor is “a victim of the climate debate moving much faster than the positive realities he helped shape,” one analyst said."
"Feb. 26, 2020",Down on the Farm That Harvests Metal From Plants,"Hyper-accumulating plants thrive in metallic soil that kills other vegetation, and botanists are testing the potential of phytomining.","Down on the Farm That Harvests Metal From Plants Hyper-accumulating plants thrive in metallic soil that kills other vegetation, and botanists are testing the potential of phytomining."
"Feb. 17, 2020",Jeff Bezos Commits $10 Billion to Address Climate Change,"The world’s richest man unveiled a fund to help climate scientists and activists, an escalation of his philanthropic efforts.","Jeff Bezos Commits $10 Billion to Address Climate Change The world’s richest man unveiled a fund to help climate scientists and activists, an escalation of his philanthropic efforts."
"Feb. 12, 2020",A Trillion Trees: How One Idea Triumphed Over Trump’s Climate Denialism,"A tech billionaire’s PowerPoint brought the Trillion Trees climate plan to the president, a textbook case of ad hoc policymaking in the Trump era.","A Trillion Trees: How One Idea Triumphed Over Trump’s Climate Denialism A tech billionaire’s PowerPoint brought the Trillion Trees climate plan to the president, a textbook case of ad hoc policymaking in the Trump era."
"Feb. 11, 2020",A Rare Trump-Era Climate Policy Hits an Obstacle: The Tax Man,"At least a dozen carbon capture projects are remain blocked because the I.R.S. has yet to explain how, exactly, companies can claim the tax credit that would make the projects viable.","A Rare Trump-Era Climate Policy Hits an Obstacle: The Tax Man At least a dozen carbon capture projects are remain blocked because the I.R.S. has yet to explain how, exactly, companies can claim the tax credit that would make the projects viable."
"Feb. 3, 2020","Japan Races to Build New Coal-Burning Power Plants, Despite the Climate Risks","As many as 22 new coal plants—one of the dirtiest power sources—will arise at 17 sites across Japan, just as the world must slash emissions to fight warming.","Japan Races to Build New Coal-Burning Power Plants, Despite the Climate Risks As many as 22 new coal plants—one of the dirtiest power sources—will arise at 17 sites across Japan, just as the world must slash emissions to fight warming."
"Jan. 22, 2020",Making Yellow School Buses a Little More Green,Some school districts are replacing diesel buses with electric models to benefit students and the environment. But the change is expensive so utilities like Dominion Energy are helping offset the cost.,Making Yellow School Buses a Little More Green Some school districts are replacing diesel buses with electric models to benefit students and the environment. But the change is expensive so utilities like Dominion Energy are helping offset the cost.
"Jan. 20, 2020",Climate Change Takes Center Stage in Davos,"With businesses under pressure to act, solutions are emerging, but not fast enough, some participants fear.","Climate Change Takes Center Stage in Davos With businesses under pressure to act, solutions are emerging, but not fast enough, some participants fear."
"Jan. 16, 2020","How Hard Is It to Quit Coal? For Germany, 18 Years and $44 Billion",The 18-year time frame shows how costly and politically complicated it is to leave the world's dirtiest fossil fuel in the ground.,"How Hard Is It to Quit Coal? For Germany, 18 Years and $44 Billion The 18-year time frame shows how costly and politically complicated it is to leave the world's dirtiest fossil fuel in the ground."
"Jan. 5, 2020",N.A.A.C.P. Tells Local Chapters: Don’t Let Energy Industry Manipulate You,The civil rights group is trying to stop state and local branches from accepting money from utilities that promote fossil fuels and then lobbying on their behalf.,N.A.A.C.P. Tells Local Chapters: Don’t Let Energy Industry Manipulate You The civil rights group is trying to stop state and local branches from accepting money from utilities that promote fossil fuels and then lobbying on their behalf.
"Dec. 17, 2019",Eastern States Introduce a Plan to Cap Tailpipe Pollution,Twelve states and the District of Columbia released a draft plan for an ambitious cap-and-trade program to curb planet-warming emissions on the region’s roads.,Eastern States Introduce a Plan to Cap Tailpipe Pollution Twelve states and the District of Columbia released a draft plan for an ambitious cap-and-trade program to curb planet-warming emissions on the region’s roads.
"Dec. 11, 2019",Natural Gas Boom Fizzles as a U.S. Glut Sinks Profits,Chevron’s multibillion-dollar write-down of gas assets is the most recent sign that the gas supply has far outstripped demand.,Natural Gas Boom Fizzles as a U.S. Glut Sinks Profits Chevron’s multibillion-dollar write-down of gas assets is the most recent sign that the gas supply has far outstripped demand.
